id,y_1990,y_2000,y_2010,y_2018,y_2019,y_2020,y_2021,y_2022
37063000101,1918,1969,1835,2021,2310,2977,3053,2939
37063000102,2714,3066,2423,3107,3103,2584,2632,2632
37063000200,1923,2147,2012,2249,2455,2410,2392,2495
37063000301,1504,1592,1561,1761,1772,1987,2057,2134
37063000302,2412,2320,2450,2530,2631,2438,2527,2535
37063000401,1920,2032,1977,2275,2196,2011,1999,2011
37063000402,985,997,1394,1627,1742,2052,2190,2249
37063000500,2291,2237,2107,2400,2414,2490,2508,2483
37063000600,3192,3416,4262,4037,3981,3770,3985,3678
37063000700,1829,2075,1998,2692,2730,2762,2871,2859
37063000900,1297,1300,784,1106,1067,1116,1167,1267
37063001001,2582,2589,2018,2678,2359,2516,2479,2364
37063001002,3022,3315,3043,3650,3642,3399,3209,3246
37063001100,1802,2155,1252,2107,2094,2185,2309,2261
37063001301,1077,922,554,897,849,1086,1181,1145
37063001303,1341,1260,838,1364,1307,1466,1535,1409
37063001304,1711,1728,1416,1811,1917,1721,1719,1648
37063001400,1747,1668,1630,1231,1288,1726,1714,1782
37063001501,34,43,47,51,47,39,41,21
37063001502,3388,3441,2937,3667,3560,3926,3623,3350
37063001503,,8,79,32,34,47,21,10
37063001601,2934,3906,4072,4410,4660,4122,3775,3930
37063001603,3124,3818,4017,4939,5156,5350,5129,5078
37063001604,3466,3750,4659,5042,5023,5350,5245,5226
37063001705,3089,3016,3107,3862,3650,3496,3502,3590
37063001706,2266,2569,2826,3591,3615,3510,3625,3812
37063001707,2975,4462,5267,5330,5492,6260,6186,6298
37063001708,1816,1812,2349,3297,3311,3229,3297,3344
37063001709,1758,2608,3065,4368,4605,4723,4935,5190
37063001710,2033,2097,2764,2856,3042,2890,3062,2961
37063001711,2596,2496,2737,3182,3315,3340,3469,3528
37063001801,3339,3799,3803,5539,5841,6118,5981,5968
37063001802,3060,3718,3858,4880,4860,4583,4347,4162
37063001806,1388,1980,3570,4686,4606,5027,5043,5016
37063001807,2818,4021,5566,6260,6632,7029,6860,6852
37063001808,1322,1992,2765,6932,7263,7873,7873,8081
37063001809,1416,2133,4069,3840,4059,4362,4788,5307
37063001900,1198,1322,1757,3434,3781,4284,4901,5493
37063002007,3065,3466,3998,3843,3663,3789,3913,3806
37063002008,1642,2049,2174,2265,2258,2700,2718,2734
37063002009,3040,3270,3413,3248,3329,3428,3479,3656
37063002013,2581,2931,3094,3529,3523,3469,3660,3745
37063002015,2789,3347,3041,3459,3539,3135,3107,3093
37063002016,1857,2466,3468,3748,3550,3327,3461,3263
37063002017,2669,3436,4640,5621,5493,5895,5922,6181
37063002018,2588,3811,5626,7112,7193,7506,8229,8008
37063002019,996,2907,2968,3810,4280,3786,3717,3643
37063002020,534,1557,3576,5073,5228,6351,6461,6670
37063002021,554,1617,2895,3024,3249,3216,3139,3194
37063002022,1006,2936,3105,3531,3439,3097,3141,3210
37063002023,1407,2061,2242,2487,2506,2326,2201,2169
37063002024,2352,3445,4238,4880,4909,4654,4325,4551
37063002025,1910,2786,3592,5007,4728,4411,4440,4350
37063002026,1402,2045,3426,4296,4538,5409,5516,5719
37063002027,1529,2507,4618,6956,7535,7025,6778,7442
37063002028,564,924,3420,7126,8116,8252,9046,10155
37063002100,2722,4103,6278,8066,8020,8210,7902,8079
37063002200,858,895,1364,1679,1732,1698,1825,2044
37063002300,1000,1214,988,956,1056,1362,1535,1695
37063980100,151,247,81,0,0,0,0,0
