id,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020
37063000101,80,52,95,102,153,73,89,78,78
37063000102,47,35,51,41,72,61,82,53,46
37063000200,39,50,39,53,87,53,65,45,33
37063000301,30,43,58,54,81,59,85,66,66
37063000302,22,17,26,30,72,50,55,38,47
37063000401,32,13,22,28,33,21,36,24,28
37063000402,20,25,22,22,22,26,54,39,19
37063000500,79,75,57,60,68,66,66,35,50
37063000600,66,50,41,61,54,34,50,35,70
37063000700,19,15,21,32,36,33,45,30,22
37063000900,151,160,138,169,205,162,165,149,80
37063001001,214,198,296,253,273,224,223,221,122
37063001002,113,162,161,149,199,197,181,222,113
37063001100,66,106,90,135,132,84,118,94,65
37063001301,99,187,200,162,220,210,186,95,107
37063001303,58,104,97,73,111,105,90,78,61
37063001304,53,58,42,43,63,55,67,41,39
37063001400,62,166,151,91,96,105,122,64,92
37063001501,0,0,0,0,0,0,0,1,0
37063001502,3,2,1,8,0,0,3,5,2
37063001503,0,0,0,0,0,0,0,0,1
37063001601,17,25,15,23,34,27,19,17,15
37063001603,16,23,11,16,20,21,23,13,12
37063001604,6,8,4,6,12,5,8,7,5
37063001705,47,45,56,56,65,61,42,66,67
37063001706,9,5,5,9,19,14,14,15,14
37063001707,23,29,25,16,37,41,40,39,26
37063001708,15,38,24,19,30,16,26,45,23
37063001709,42,46,59,77,65,71,72,68,57
37063001710,12,27,21,38,46,65,39,28,38
37063001711,16,18,14,22,32,36,27,32,32
37063001801,78,63,45,51,70,45,88,70,42
37063001802,87,96,93,138,201,111,169,129,96
37063001806,31,12,9,10,21,14,18,10,5
37063001807,26,24,18,38,68,45,55,43,30
37063001808,13,3,1,4,8,2,5,9,3
37063001809,4,32,11,20,20,16,12,6,8
37063001900,0,0,0,0,0,0,1,1,6
37063002007,24,15,30,22,26,18,21,27,34
37063002008,8,0,3,4,7,2,7,9,7
37063002009,87,152,113,122,124,147,154,130,124
37063002013,12,17,22,15,19,8,18,13,33
37063002015,10,9,15,12,9,11,18,16,26
37063002016,5,3,7,7,5,2,2,4,5
37063002017,7,3,4,6,10,10,5,10,8
37063002018,10,7,5,13,6,6,13,12,7
37063002019,1,0,1,0,3,1,2,2,2
37063002020,2,1,3,3,3,1,4,1,2
37063002021,5,2,4,1,5,6,9,2,11
37063002022,3,8,1,9,7,14,12,15,12
37063002023,2,3,1,0,3,1,3,1,3
37063002024,5,7,2,8,23,11,11,10,8
37063002025,40,40,30,29,32,42,51,33,27
37063002026,21,25,57,57,44,54,56,42,40
37063002027,30,22,24,24,47,22,38,59,33
37063002028,1,1,3,6,10,7,6,3,4
37063002100,0,1,0,1,1,0,1,0,3
37063002200,19,23,16,20,31,19,19,32,25
37063002300,32,58,56,59,69,53,46,23,29
37063980100,0,0,0,0,0,0,1,0,0
